Category,Calories,Protein,Fat
Baked Goods,219.744444,3.077778,9.625
Beverages,98.25,0.741935,1.0
Dairy,118.822222,6.987342,3.225581
Eggs,201.454545,12.818182,14.272727
Fast Foods,325.463415,17.243902,15.95122
Fats and Oils,63.738095,0.125,7.358974
Fish,110.360656,15.57377,4.254237
Fruit,59.438356,0.980392,0.2
Grain/Cereal,125.530303,3.621212,2.2
Legumes/Nuts,180.607843,8.901961,10.901961
Meat/Poultry,154.103448,17.572414,8.555556
Miscellaneous,38.222222,1.866667,2.258824
Mixed Dishes,325.74359,16.717949,16.459459
Snacks,128.913043,3.578947,8.263158
Soups,121.363636,6.609091,3.878788
Sweets,121.28,2.298246,6.507042
Vegetables,44.672566,1.908163,4.5
